%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_RC_8    DAKOTA_RC_9    DAKOTA_EP_1       obj_fn_1       obj_fn_2       obj_fn_3 
54           NO_ID    2.082130257    1.855782776    1.467433032    1.920007313    1.929941923    2.054885354    1.896513586     2.08070801    2.278555742   0.3677814269   0.0899028711 0.001035965769 0.003186069059 
55           NO_ID    2.082459345    1.989808497    1.392079519    1.813547456    1.903293067    1.842552463    1.807853847    2.306847717    2.064338936    11.27442818            100            100            100 
56           NO_ID    2.084487401    1.956351067   0.9828890939     2.07791771    1.946559925    1.915630336    1.850338641    2.099637274    2.262949416   0.7538401972  0.01634195916 0.0004432801969 0.004745439508 
57           NO_ID    2.085955206    1.998864952    1.215595653    2.043215651    1.949818616    2.153840799    1.915165768    2.029713989    2.083246821    4.258384507   0.2905638034 0.001063064745 0.003160652895 
58           NO_ID    2.085985782    1.963023692    1.065009429    1.732132597    1.818449332     2.15153753    1.982346753    2.368356235    2.122718479    3.619535975   0.3898073586  0.03739698492  0.05005064763 
59           NO_ID    2.087086861    1.907354702    1.012306894    1.874921877    1.941021049    1.919006431     1.90059688    2.146264526    2.097865164    8.620358615  0.01394026385 3.458172834e-05 0.004168423847 
60           NO_ID      2.0895083    1.874712509   0.8253282424    1.734983119     1.85987595    2.040875444    1.970020992     2.21396133    2.244218401    6.575398981  0.05910359249  0.01091722271  0.01026651174 
61           NO_ID    2.089749342    1.673954296    1.190252922    1.704982797    1.755348172    2.130292663    1.869492638    2.021017782     2.37049347    2.049310082  0.01081078987 0.0009161299504 0.003327839326 
62           NO_ID    2.091378927    1.982307678     1.32165974    2.187942048    1.763427455     1.81251458    1.827327347    2.035213495    2.079721955    11.76276112  0.01598932904  0.09511180132   0.1076503484 
63           NO_ID     2.09188964     1.65374494    1.555627758    1.736546565    1.737444837    2.151361654    1.824596618    2.015120077    2.231277959    11.12180811 0.009879519605 0.002268671092 0.001709290466 
64           NO_ID     2.09200704    1.708798201     1.31148338    1.692376559    2.121911604    2.193908441    1.861566646    2.142385251    2.375773725    7.189125469  0.01739120935 0.0009592755635 0.003263395772 
65           NO_ID    2.093924627    1.846429709    1.489559259    1.606405848    1.943417841    1.987745555    1.944808497    2.093422423    2.071462925    2.546574389  0.01364842193 0.0008592400066 0.003269087934 
66           NO_ID    2.094656791    1.915248999   0.8238774754    2.056439329    2.124833219    2.093160019    1.807410945    2.014342118    2.143411262    11.92236062  0.01737802838 0.007872730232 0.007228782724 
67           NO_ID    2.096016789    1.764593528     1.21927219     1.65195972    2.021831921    1.910529005    1.832226653    2.250251244     2.38259013    11.99448921            100            100            100 
68           NO_ID    2.096096417    1.751080804    1.505409605    1.635407194    1.736609142    2.030210221    1.950500994    2.324224738     2.12253753    5.782238924  0.01280341315   0.2288838664   0.2323696657 
69           NO_ID    2.100591517    1.998222682    1.573177878     2.03966715    1.889170405    1.804269686    1.995556649    2.274509528    2.026380931    11.36854039            100            100            100 
70           NO_ID    2.101091246    1.850402993    1.126633551    1.977566381    1.853882586    2.145131643     1.83399549    2.294376623    2.023937096    3.775971273  0.01400208619 0.0009279490216 0.003348351177 
71           NO_ID    2.101414561     1.66726134    1.572923858    1.865916758    1.645627364    2.112594465    1.913206305    2.080831592    2.116865957   0.8071029227            100            100            100 
72           NO_ID    2.101853333    1.649481485    1.197910951    1.774349708    1.783547197    1.866902264    1.841081255     2.26526858    2.127438574    7.046048566            100            100            100 
73           NO_ID     2.10245127    1.781879428    1.282673047    1.609679539    1.674845065    1.845795834    1.988488765    2.155778859    2.085037313    8.018943103            100            100            100 
74           NO_ID    2.103566335    1.602826987    1.576643243    1.903308048    1.769646644    1.962462341    1.916782338    2.355759647    2.143842083    1.960267593            100            100            100 
75           NO_ID    2.105077388    1.796410379    1.321524873    1.805704817    1.866458004    1.906144791     1.98149186    2.193855036     2.16168615    3.642230062  0.01324838464 0.0005897942519 0.003582506978 
76           NO_ID    2.105750949    1.622353131    1.199297374    2.167862615    1.998492517    2.051755224    1.946017382    2.236654808    2.006047005    5.973646947   0.5177840334   0.2146712469    0.213599259 
77           NO_ID    2.109125598    1.665374459   0.9434179109    1.893861708     1.92958958    1.939804846    1.911185442    2.386357765    2.219766219    8.717653623  0.01078662226 0.000549572337  0.00398989366 
78           NO_ID    2.113518754    1.694558221     1.39275458    2.056207896    2.091441941    1.960493554    1.898621504    2.029390787    2.016895545    1.007427073  0.01133482213   0.2409223329   0.2412556339 
79           NO_ID     2.12304932    1.937991436   0.8093469795     1.98073845    1.864129261    1.968237298    1.853483372    2.081083177    2.013963617    6.761293064    0.119596602  0.04783036638  0.03640472996 
80           NO_ID    2.126841911     1.64954251   0.9373507742    2.156513064    1.919729612    2.105915925    1.873612603    2.372966064    2.397404711    6.263613031  0.01230961832    0.106284731   0.1159593414 
81           NO_ID    2.128565463    1.933072786    1.202665185    1.623989656    2.056807986      1.9483508    1.992177117    2.259040816    2.128956751    11.54132841  0.01698948663 8.227351909e-05 0.004157814563 
82           NO_ID    2.130477862    1.774393545     1.00799107    1.898729874     1.81810338     2.11714861    1.852534587     2.29262746    2.290114674    3.074216568  0.01185954733 5.273321356e-05 0.004166164917 
83           NO_ID    2.132794099    1.781043267    1.365086939    2.178527672     1.79812666    2.105135916    1.802122231    2.041886309    2.129995968    2.441873874  0.01338112073   0.1071059637   0.1194395645 
84           NO_ID    2.132848703    1.893727356   0.8052460726    1.932336782    2.127324349    1.870020469    1.896294761    2.186776404    2.344418801    11.10628144  0.01615129548   0.0545332753  0.05295444004 
85           NO_ID    2.133597092    1.791913818    1.347944587    2.038705288    2.174720993    1.870620945    1.910299174    2.119512481    2.335260577     1.29309385  0.01320500243 0.0006583305412 0.003570187483 
