%eval_id interface    DAKOTA_RC_1    DAKOTA_RC_2    DAKOTA_RC_3    DAKOTA_RC_4    DAKOTA_RC_5    DAKOTA_RC_6    DAKOTA_RC_7    DAKOTA_EP_1    DAKOTA_EP_2       obj_fn_1       obj_fn_2 
77           NO_ID    1.804021207    1.462140025    1.753364965    1.711296886    2.069199728     2.09646486     2.04326551    6.448278875    1.802849109            100            100 
78           NO_ID    1.804212288    1.768258675    1.394962108    2.022358493    2.086569118    1.958903569    1.804320087    4.776335866    5.863828699            100            100 
79           NO_ID     1.80508624    1.425817443    1.557177418    2.085401614    2.095195897    1.786477539     2.06732025    4.194801128    2.161964749            100            100 
80           NO_ID    1.805316231    1.698769765    1.228394376    1.877381723    2.012242662    2.087685641    1.977689368    3.679886628    4.749250656 0.0006797121696 0.001948754072 
81           NO_ID    1.805672068    1.538601378    1.242557991    1.866333219    2.036360178    1.707247902    1.801824767    5.000708182    11.75837501 0.002717087017 0.004887347037 
82           NO_ID    1.805948073    1.378519739    1.556257642    1.927860349     1.74938862    1.775585019    1.823739994    5.386507985    9.381376414            100            100 
83           NO_ID    1.806836965    1.334742187    1.775575831    1.917748604    1.941011683    1.960025087    1.882264813    9.235372412    1.433781038            100            100 
84           NO_ID    1.807377221    1.210661445    1.229222236    1.939607884    1.907959987    2.091282778     2.09273828    3.805299792   0.2667133213   0.1696711716 0.007636919976 
85           NO_ID    1.810625925    1.768313862    1.703237322    1.930330095    2.084697932    1.715572544    1.742429437    9.537869531    5.045817422            100            100 
86           NO_ID    1.812389621    1.779306097    1.526851448    1.719896563    1.791876132    1.743635217    1.748268556    7.746280553    11.39986185            100            100 
87           NO_ID    1.813530069    1.747960837    1.344592498    1.731591448    2.093870883    1.871499695    1.887157576    9.320273201    9.011967881 0.002151610203 0.001049916373 
88           NO_ID    1.815383477    1.466439628    1.531621578     2.02236901    2.031250576    2.008326906    2.008904809    11.92761839   0.1173415203            100            100 
89           NO_ID    1.816044368    1.317355348    1.536150026    1.970677442    1.705230547     2.07131154    1.861291225    8.654159321    2.160716354            100            100 
90           NO_ID    1.817397312    1.513679565    1.664812227    1.985591226     2.07588307      2.0069059    1.791728718    11.21271875   0.5994405228            100            100 
91           NO_ID    1.823208065    1.393257246     1.51012887    1.790113225    1.706719824     1.72439665     2.05358092     11.2438819    8.363330504            100            100 
92           NO_ID    1.824554974    1.595017394    1.694819523    2.050441442    2.095091215    2.075331544    1.892766695    1.599982734    1.607188052            100            100 
93           NO_ID    1.824646758    1.470544612    1.634180443    1.914679333    1.803379677    2.033633306    1.778320051    5.551140734    11.73289812            100            100 
94           NO_ID    1.825018205    1.480279869    1.780689356    1.817515913    1.721892888    1.891427115    1.872762033    11.26321686    2.164488132            100            100 
95           NO_ID      1.8266201    1.784209401    1.675518134    2.090226286    1.930959749    1.954898551    1.793555797   0.6044445357    11.63348753            100            100 
96           NO_ID    1.826893557    1.317938998    1.483937933    1.785681427    1.785332102    1.855276771    1.776843481    1.956990498    11.14670709            100            100 
97           NO_ID    1.827014464    1.288658186    1.641593733    2.019143385    1.845337794     2.09590258     1.93722316     5.30603279     7.15166728            100            100 
98           NO_ID    1.831746285    1.268177792     1.56348788    1.758241543    1.778241391    1.867668846    2.082324081    3.448269145    10.25620904            100            100 
99           NO_ID    1.833206202    1.298070835    1.763974295    1.718769184    2.091845387    1.713532999    1.883784502    9.713176426   0.3602900674            100            100 
100          NO_ID    1.835127909    1.357814559     1.34635029    1.774616978    1.702595891    1.958275721    1.745957404    3.592279183   0.4262962585 0.002361646943 0.007492375145 
101          NO_ID    1.835519068    1.789430438    1.368717193    1.849660683     1.76994259    1.964966903    2.032350016    6.962071508    10.53377291            100            100 
102          NO_ID    1.836457625    1.613670488    1.274619273    1.986588301    2.083656267    2.043893298    1.803287677    10.87815664    8.626087321 0.004821784164 0.001960766503 
103          NO_ID    1.837228693    1.245735899    1.326447818      1.7426542    1.918281506    2.072937305    1.807290903      6.0460011    10.96791815 0.004480182453 0.007777661794 
104          NO_ID    1.840979571    1.506079553    1.628119847    1.746641824    2.030673136    1.974886165    2.063653913    9.626982662    3.175377417            100            100 
105          NO_ID     1.84150762    1.792594765    1.412544409    1.988427718    1.734423207    1.972654051    1.730654335    3.701300211    6.484259592            100            100 
106          NO_ID    1.843300743    1.398842702    1.577079303    1.896873678    1.792997342    1.987043041    2.065388918    11.85919555    1.487803097            100            100 
107          NO_ID    1.845488885    1.751803917    1.395826622    1.784502116    1.719861613    1.929044769    2.031093785    1.678215311    11.77493123            100            100 
108          NO_ID    1.845533229    1.641389811    1.669106033      1.8893777    1.997785408    1.801163734    1.970040314    11.80726365    11.73940799            100            100 
109          NO_ID     1.84752384    1.785204977    1.391120245    2.060297814    1.919335724    2.092212186    1.999915115    1.722757225    11.44697548            100            100 
110          NO_ID    1.847685718    1.614554168    1.544918199    2.063827704    1.836158046    2.040100866    1.968461123    4.765993944    7.798066672            100            100 
111          NO_ID    1.849325943    1.457644617     1.22592958    1.816673023     1.87959786    1.967289772     1.91983941    6.553860541     6.38345508 0.002477367557 0.006127133181 
112          NO_ID    1.850856361    1.204196923    1.237973548    1.839599741    2.090209483    1.876038739     2.00521088    6.480297785    8.583532511 0.006446916759 0.007225759535 
113          NO_ID    1.851183558    1.614461801    1.746774314    1.766834064    1.887767614    1.986023195     2.00745024    4.521535777    8.427686343            100            100 
114          NO_ID    1.853624157    1.330868782    1.779803698    1.766336704    1.795584478    2.039956387    1.922899659    9.692141895     6.73057012            100            100 
115          NO_ID    1.857207982    1.523669659    1.315623615    1.833335394    2.057287393    1.772145586    1.975031667     7.37145332    3.197063775 0.002207467335 0.005059076799 
116          NO_ID    1.857396112    1.631090772    1.393059449    1.713948422    1.830717243    1.892083462    2.043134414    11.89927139    3.376331696            100            100 
117          NO_ID     1.85810303    1.775566147    1.692551006    1.965578253     1.73327626    2.026471557     2.01862162    10.14436318    6.404664961            100            100 
118          NO_ID    1.858205598    1.441243367    1.634779332    1.825510067    1.851506183     1.96071955      1.8810089    10.22359301    6.150676989            100            100 
119          NO_ID     1.85906382     1.51315584    1.684617601     1.88561054    1.805215748    2.098247012    1.887597821    2.214316205    10.21650229            100            100 
120          NO_ID    1.859764989    1.572152913    1.259606263    1.755190431    1.841370875    1.956445602    1.829303209    6.268824787    11.02041242 0.003463208649 0.002922636201 
121          NO_ID    1.860700941    1.494362068    1.400222366    2.010169131    1.736173976    1.986977756    1.992015135    6.144353223    3.501755221            100            100 
122          NO_ID    1.861181742    1.326570089     1.65637767     1.84477297    1.865057238     1.97130647     1.91136728    7.443957425    1.791231305            100            100 
123          NO_ID    1.862103254    1.229462027    1.489464525    1.927257146    1.994844979    1.749396805    1.742083665 0.001342864708    2.814399676            100            100 
124          NO_ID    1.862113373     1.67775338    1.461256298    1.964849645    1.899596322    1.754120545    1.773289627   0.0717573278    3.463956665            100            100 
125          NO_ID    1.862204088    1.732428495    1.564221989    1.859302853    1.901468779    1.705490282    1.966086961    6.752798274    2.601666817            100            100 
126          NO_ID    1.862632766    1.412680376     1.30928533    1.860389061    1.765199275    1.746666138    1.798931789    5.809025955    7.791940629 0.002177701096 0.006446675637 
127          NO_ID    1.863244454    1.599729025    1.574428017     1.96126279    1.901549844    1.753824032    2.018814333    5.451185348    8.354545532            100            100 
128          NO_ID    1.864122113    1.582649948    1.680516404    2.032969495    2.061936931    1.710172394    2.016686715    5.390566022    7.535522297            100            100 
129          NO_ID    1.864632976    1.453991148    1.212538018    2.009695392    1.802944067    1.816466893    1.938073404    2.645830891    5.958089375 0.002056700285 0.006033826957 
130          NO_ID    1.865768903    1.798370517    1.600997682    1.744871783    1.804229909    1.899844965    1.763801366    8.448348975    3.362628787            100            100 
131          NO_ID    1.866763361    1.795546624    1.509206239    2.097874222     1.81307545    1.984374391    1.921974239    11.51258678    8.688148162            100            100 
132          NO_ID    1.867625933    1.753647982    1.786865686    1.881835808    1.900149118    1.732995192    1.899060382    10.78599624    1.352775196            100            100 
133          NO_ID    1.870799874      1.7629315    1.763344169    1.737204783    1.987687354    1.831079068    1.969473874    4.680608323    7.978580099            100            100 
134          NO_ID    1.872471109    1.277773105    1.625071032    1.898857579    2.089024293    1.779588424    1.889093561     6.77761686     8.39985962            100            100 
